,player,Nationality,Club,Age (year born)
FALSE,Angel Di Maria,Argentina  ,Real Madrid CF,1988
FALSE,Eden Hazard,Belguim,Chelsea FC,1991
FALSE,Oscar,Brazil,Chelsea FC,1991
FALSE,Robin Van Persie,Holand,Man U,1983
FALSE,Lionel Messi,Argentina  ,FC Barcalona,1987
FALSE,Wayne Roony,England,Man U,1985
FALSE,Thomas Müller,Germany,FC Bayern Muenchen,1989
FALSE,Pedro Rodriguez,Spain,FC Barcalona,1983
FALSE,Mario Gotze,Germany,FC Bayern Muenchen,1992
FALSE,Cristiano Ronaldo,Portugal,Real Madrid CF,1985
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
FALSE,,,,
